,,0
3,198,0.05069834481266765
3,167,0.05135997027305367
4,197,0.05149047126503419
4,141,0.051814324397237384
3,152,0.05205142806052655
3,185,0.0521536940585457
5,101,0.05268850907030966
6,155,0.05288267698268311
3,171,0.0529226555642935
1,116,0.053093442997626646
6,115,0.05320927531697468
3,153,0.05334946823050784
4,187,0.05343418683872386
3,159,0.054168521570813415
3,137,0.054277271912395265
4,100,0.05440855475367225
8,143,0.05514710825126327
8,117,0.05537796207135338
5,135,0.05544317283474856
5,156,0.05545434950164515
3,121,0.0556086112365128
8,162,0.055759456094440385
3,157,0.05581109186057238
8,137,0.05608948610153413
1,150,0.056230044254320204
6,139,0.056360474647316736
5,134,0.056804637538608246
5,106,0.057109362269983636
6,170,0.05717780589199511
5,168,0.05727699450838084
5,172,0.05753666548690642
1,130,0.057541402607297606
5,151,0.057712561341469064
8,199,0.05809710396294924
5,108,0.058436353776751424
5,138,0.059081090517273435
8,180,0.0591779891266337
4,108,0.05954054578734019
5,197,0.059619397689139625
5,139,0.059955545021932954
5,100,0.06005115282530144
6,151,0.06043183140442535
6,154,0.06068431693831113
8,190,0.06076159855742466
3,199,0.061124683829747
5,186,0.061515965338762
6,194,0.06160362828488046
3,101,0.062033167414451425
5,181,0.062078398196689644
3,127,0.06255211891592768
11,131,0.06257044304140011
1,113,0.06258172994253468
8,183,0.0628385667810472
4,101,0.06294228969930395
1,165,0.06332612059599024
5,164,0.06338481279661062
3,103,0.0647393579623492
4,111,0.06494452766834298
6,130,0.06518477066596347
5,176,0.06534817587556307
1,107,0.06542308373321738
8,173,0.0655015839765982
3,186,0.06618774306044144
4,138,0.06653523770670872
4,121,0.0669574349375169
1,125,0.0675810580841671
4,198,0.0676058798082058
5,132,0.06761948720056339
8,123,0.06788180136191185
4,196,0.06789319172954447
3,181,0.067913674804374
1,138,0.06792896672117561
4,183,0.0680192312201885
8,171,0.06826145153428256
1,101,0.06827971310623335
3,178,0.0687619974669434
5,178,0.06889446182545068
4,127,0.06890191143981851
5,116,0.06926027036399571
5,191,0.06943104593030935
5,105,0.06946279801797167
8,191,0.06989050081012481
11,113,0.069975206625483
3,156,0.07007260363495106
11,126,0.07015537053467197
5,146,0.07018563953822046
8,175,0.07053379839079894
4,109,0.0708454274899889
5,130,0.07102729783294022
4,159,0.07164571309228243
5,159,0.07174001793892952
3,195,0.07180710326580465
6,185,0.07207490515056376
3,194,0.07260993912576671
2,177,0.07286394226186711
3,163,0.07287000709407503
4,114,0.07304575118410987
5,182,0.0731076199952939
6,174,0.07314863147751795
8,179,0.07324993621956509
8,192,0.07329222813899625
4,120,0.0735625250303165
4,129,0.07425745272384666
3,155,0.07439357463177688
4,190,0.07492544271669625
6,133,0.07540754885969483
6,100,0.07541132144894165
8,170,0.07558082709495866
6,153,0.07605598409132376
4,112,0.07620821277198714
4,126,0.07647114921121365
3,122,0.07689603345087806
3,134,0.07729470133173172
3,169,0.07748287696169864
5,153,0.07772387036149135
5,174,0.0779085562504201
8,131,0.07809978881260334
1,131,0.07830015966296668
8,121,0.07831583814419962
4,140,0.07843963041992308
3,124,0.07848509862805456
3,161,0.07862846112183942
3,123,0.07878195749031891
4,156,0.07887643089043064
5,114,0.0789269286150531
8,184,0.07935196177424197
