MR,FI,N_EST,MAX_FEATURES,BOOTSTRAPPING,AUPRC,AUROC,MEAN_AUROC,p-value,BOOSTING
100,VR,500,sqrt,False,0.6525147060852984,0.896583751921881,0.9064497864779614,1.9078243741877263e-192,No
100,SHAP,500,sqrt,False,0.6574787723786178,0.9037588463727686,0.9124055907948644,2.1929590729355415e-199,No
100,VR,500,100,True,0.6867176913232095,0.9027555721328924,0.9108820959926204,2.0836719108079546e-198,No
100,SHAP,500,100,True,0.7021329979377272,0.9110874106998508,0.918485470463901,1.3333063814674814e-206,No
100,VR,500,100,False,0.5133409105818484,0.7720203909877136,0.7884998981384572,9.424275385626316e-92,No
100,SHAP,500,100,False,0.5179701511787017,0.7702599123516486,0.7872541948351449,1.347185649695414e-90,No
100,VR,1000,sqrt,True,0.6565763929534749,0.8916502674066892,0.9006260988857014,9.55015612099657e-188,No
100,SHAP,1000,sqrt,True,0.6631196327513553,0.9016922913872748,0.9099240885168604,2.2514458553280315e-197,No
100,VR,1000,sqrt,False,0.6534413046383662,0.895859788539664,0.9052523902006518,9.41534166716734e-192,No
100,SHAP,1000,sqrt,False,0.6572966875056672,0.9021829201194692,0.9111681627211125,7.513672475550781e-198,No
100,VR,1000,100,True,0.6873604185563484,0.9033141938482104,0.9116078135898656,5.952395884730664e-199,No
100,SHAP,1000,100,True,0.701075649511309,0.9111230260719632,0.9181738498176618,1.2289801933723555e-206,No
100,VR,1000,100,False,0.5132769822213527,0.7721976044453165,0.7896608532638658,7.203634835154689e-92,No
100,SHAP,1000,100,False,0.5180250888514408,0.7706926930855023,0.7873569553485121,7.016816295797675e-91,No
100,VR,2000,sqrt,True,0.6588067558307578,0.8949005478507635,0.9044483674331982,7.77138550751759e-191,No
100,SHAP,2000,sqrt,True,0.6650107017748,0.9032934721771632,0.9107435775392888,6.235763533845809e-199,No
100,VR,2000,sqrt,False,0.653535877040594,0.895718406304914,0.905089320306412,1.2855297408740502e-191,No
100,SHAP,2000,sqrt,False,0.6580889085630384,0.9016946657454156,0.9112387779833622,2.23952746548637e-197,No
100,VR,2000,100,True,0.6880650475762654,0.9032438265069456,0.9108909246381236,6.970694676053051e-199,No
100,SHAP,2000,100,True,0.7018800156960808,0.9109002681082043,0.9179026132328638,2.0455597536422195e-206,No
100,VR,2000,100,False,0.513162160253657,0.771866705260779,0.7886022603414825,1.1895695416613037e-91,No
100,SHAP,2000,100,False,0.5179620745776802,0.7704938945538915,0.7864717948503697,9.469447008654703e-91,No
